module,msgid,msgstr,occurrences
intn_account_bank_transfer,"<i class=""fa fa-check-circle""/>
                    Your receipt was uploaded successfully. Treasury will
                    review it shortly.",,1
intn_account_bank_transfer,"<i class=""fa fa-download""/> Download",,1
intn_account_bank_transfer,"<i class=""fa fa-exclamation-triangle""/>
                    No file was attached. Please select a receipt
                    (PDF or image) before submitting.",,1
intn_account_bank_transfer,"<i class=""fa fa-university""/>
                        <strong>Manual bank transfer</strong>",,1
intn_account_bank_transfer,Bank Transfer: No transaction found matching reference %s.,,1
intn_account_bank_transfer,Bank transfer payments must be registered through a payment receipt linked to the invoice so Treasury approval can be verified.,,1
intn_account_bank_transfer,Cannot reject a receipt for an invoice that has already been paid. Reverse the payment first.,,1
intn_account_bank_transfer,Only receipts pending review can be approved or rejected.,,1
intn_account_bank_transfer,Payment Transaction,,1
intn_account_bank_transfer,Your payment has been authorized.,,1
intn_account_bank_transfer,Your payment has been cancelled.,,1
intn_account_bank_transfer,Your payment has been successfully processed but is waiting for approval.,,1
intn_account_bank_transfer,Your payment has been successfully processed.,,1
intn_account_bank_transfer,"<i class=""fa fa-download""/>
                                    View attached receipt",,0
intn_account_bank_transfer,"<i class=""fa fa-university""/>
                            <strong>Manual bank transfer</strong>",,0
intn_account_bank_transfer,<strong>Manual bank transfer</strong>,,0
intn_account_bank_transfer,"Make a transfer and attach the receipt
                                    for verification.",,0
intn_account_bank_transfer,"Receipt submitted. Treasury will review it
                                    shortly.",,0
intn_account_bank_transfer,Register Payment,,0
intn_account_bank_transfer,Se autorizó su pago.,,0
intn_account_bank_transfer,Se canceló su pago.,,0
intn_account_bank_transfer,Select,,0
intn_account_bank_transfer,Su pago se procesó con éxito pero está en espera de aprobación.,,0
intn_account_bank_transfer,Tu pago se procesó con éxito.,,0
intn_account_bank_transfer,Download,,0
intn_account_bank_transfer,"No file was attached. Please select a receipt
                    (PDF or image) before submitting.",,0
intn_account_bank_transfer,"Your receipt was uploaded successfully. Treasury will
                    review it shortly.",,0
intn_account_cashier,Authorized Users,,1
intn_account_cashier,Cash Control,,1
intn_account_cashier,Cashier box,,1
intn_account_cashier,Cashier session,,1
intn_account_cashier,Customer Invoices,,1
intn_account_cashier,ID,,2
intn_account_cashier,"If empty, any accounting user with cashier access may open a session on this box. If set, only listed users (plus system administrators) may open a session.",,1
intn_account_cashier,In progress,,1
intn_account_cashier,Invoices,,1
intn_account_cashier,Only a session in opening state can be started.,,1
intn_account_cashier,Only the assigned cashier can start this session.,,1
intn_account_cashier,Open session,,1
intn_account_cashier,Start session,,1
intn_account_cashier,The session is assigned to another user,,1
intn_account_cashier,There is already an open session for this box,,1
intn_account_cashier,There is already an open session for this user,,1
intn_account_cashier,Unknown cashier box.,,1
intn_account_cashier,"You are not authorized to open a session on cashier box ""%s"".",,1
intn_account_cashier,You cannot close the session while cash invoices remain unpaid.,,1
intn_account_cashier,Demo Cashier Journal,,1
intn_account_pagopar,"<span class=""badge rounded-pill text-bg-danger ms-1"">
                    <i class=""fa fa-fw fa-remove""/>
                    <span class=""d-none d-md-inline""> Rechazado</span>
                </span>",,1
intn_account_pagopar,"<span class=""badge rounded-pill text-bg-success ms-1"">
                    <i class=""fa fa-fw fa-check""/>
                    <span class=""d-none d-md-inline""> Aprobado</span>
                </span>",,1
