sprint,sprint_fechas,historia_id,historia_titulo,tipo_item,funcional,descripcion,cumple,historia_estado,modulos_evidencia,notas,rf_referencia,csv_desarrollo
1,23/02/2026-06/03/2026,US-S1-01,Registro de clientes,Historia,Si,Registro portal con alta ATC,Cumple,Cumple,rf_customer_registration; intn_portal_registration; intn_portal_hybrid_auth,Signup + bloqueo login hasta intn_enabled_customer,RF 2.1,Listo para pruebas
1,23/02/2026-06/03/2026,US-S1-02,Estructura de contactos empresariales,Historia,Si,Empresa matriz sucursales contactos,Cumple,Cumple,intn_portal_registration (intn.establishment),Portal /my/company /my/establishment,RF 2.2,
1,23/02/2026-06/03/2026,US-S1-03,Carga documental en solicitudes,Historia,Si,Adjuntos en solicitud de servicio,Cumple,Cumple,intn_service_request; intn_portal_fleet_requests; intn_documents,Requisitos declarativos + validacion portal,RF 2.3,
1,23/02/2026-06/03/2026,US-S1-04,Historial de camiones cisterna,Historia,Si,Historial placas y acoplados,Cumple,Cumple,intn_fleet_cistern,fleet.vehicle.plate.history trailer_history_ids,,
1,23/02/2026-06/03/2026,US-S1-05,Remision y devolucion de precintos,Historia,Si,Ciclo remision/devolucion precintos,Cumple,Cumple,intn_fleet_cistern_seals; intn_fleet_cistern_constancy; intn_product_remission,seal.report.wizard: devoluciones estado remisiones PDF/Excel,,
1,23/02/2026-06/03/2026,US-S1-05,Remision y devolucion de precintos,Subtarea funcional,Si,PDF Nota de Remision de Precintos,Cumple,Cumple,intn_fleet_cistern_seals/reports/seal_remission_report.xml,,,
1,23/02/2026-06/03/2026,US-S1-05,Remision y devolucion de precintos,Subtarea funcional,Si,PDF Constancia precintado cisterna,Cumple,Cumple,intn_fleet_cistern_constancy,,,
1,23/02/2026-06/03/2026,US-S1-05,Remision y devolucion de precintos,Subtarea funcional,Si,Listado devoluciones PDF/Excel por fechas y lugar,Cumple,Cumple,intn_fleet_cistern_seals (seal.report.wizard),report_type=returns; action_export_excel,,
1,23/02/2026-06/03/2026,US-S1-05,Remision y devolucion de precintos,Subtarea funcional,Si,Informe listado Estado de Precintos,Cumple,Cumple,intn_fleet_cistern_seals (seal.report.wizard),report_type=seal_status; action_report_seal_status_list,,
1,23/02/2026-06/03/2026,US-S1-05,Remision y devolucion de precintos,Subtarea funcional,Si,Constancia muestra remision y certificado VCC,Cumple,Cumple,intn_fleet_cistern_constancy; intn_delivery_certificate,,,
